"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal_caption","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2017S010537    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701265,"B-10 (Besòs)                                      ",630000,"Dimecres","Dc","Laboral",2017,12,"Desembre",20,14,"Tarda","Abast","434528.18","4584107.85","2.215588","41.403997"
"2017S004653    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701265,"Litoral (Besòs)                                   ",650000,"Divendres","Dv","Laboral",2017,5,"Maig",26,14,"Tarda","Abast","434385.74","4583964.78","2.213893","41.402697"
"2017S005390    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701266,"B-10 (Llobregat)                                  ",630000,"Dimarts","Dm","Laboral",2017,6,"Juny",20,7,"Matí","Caiguda (dues rodes)","434515.94","4584120.29","2.215431","41.404113"
"2017S005231    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",183603,"Llacuna                                           ","0129 0129","Dijous","Dj","Laboral",2017,6,"Juny",15,9,"Matí","Col.lisió lateral","432732.51","4584192.86","2.194094","41.404614"
"2017S007601    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701265,"Garcia Fària / Bac de Roda                        ",670000,"Dijous","Dj","Laboral",2017,9,"Setembre",14,7,"Matí","Xoc contra element estàtic","434241.83","4583823.22","2.212185","41.401415"
"2017S003790    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701265,"B-10 (Besòs)                                      ",700000,"Divendres","Dv","Laboral",2017,4,"Abril",28,15,"Tarda","Abast","434034.68","4583605.76","2.209733","41.399435"
"2017S006098    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701278,"Llevant / Diagonal                                ","0293 0293","Dijous","Dj","Laboral",2017,7,"Juliol",13,12,"Matí","Col.lisió lateral","434797.41","4584868.43","2.218724","41.410873"
"2017S006454    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701278,"Espronceda / Taulat                               ","0195X0195X","Dilluns","Dl","Laboral",2017,7,"Juliol",24,13,"Matí","Xoc contra element estàtic","433973.51","4583866.53","2.208975","41.401781"
"2017S001956    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701609,"RDA LITORAL(BESÒS)                                ","0007 0007","Dijous","Dj","Laboral",2017,3,"Març",9,18,"Tarda","Abast","434732.95","4584601.51","2.217975","41.408463"
"2017S008029    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",44403,"Bolívia                                           ","0012 0016","Divendres","Dv","Laboral",2017,9,"Setembre",29,9,"Matí","Col.lisió fronto-lateral","432265.78","4583782.76","2.188553","41.400882"
"2017S001450    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",4908,"PG TAULAT                                         ","0116 0116","Dimarts","Dm","Laboral",2017,2,"Febrer",21,17,"Tarda","Xoc contra element estàtic","432459.7","4583555.02","2.190899","41.398854"
"2017S001214    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",267907,"PG TAULAT / Espronceda                            ","0016 0016","Dimarts","Dm","Laboral",2017,2,"Febrer",14,1,"Nit","Col.lisió fronto-lateral","434083.92","4584372.88","2.210236","41.406347"
"2017S009513    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",144601,"Diagonal / Ciutat de Granada                      ","0199 0199","Dijous","Dj","Laboral",2017,11,"Novembre",16,17,"Tarda","Atropellament","432480.24","4584135.61","2.191085","41.404079"
"2017S005303    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Garcia Fària / Bac de Roda                        ","0001X0001X","Dissabte","Ds","Laboral",2017,6,"Juny",17,20,"Tarda","Resta sortides de via","434162.42","4583868.03","2.211235","41.401814"
