"Codi_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Dia_setmana","ID_Dia_setmana","Tipus_dia","Any","Mes","Nom_mes","Dia_de_mes","Hora_de_dia","Torn","Tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2018S007279    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",144601,"Diagonal                                          ","0538 0538","Dijous","Dj","Laboral","2018",9,"Setembre","27","20","Tarda","Abast","429167.36","4583133.09","2.151575","41.39477"
"2018S007280    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",350308,"Aragó / Balmes                                    ","0238 0238","Dijous","Dj","Laboral","2018",9,"Setembre","27","14","Tarda","Altres","429905.46","4582641.71","2.16187","41.389891"
"2018S007281    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",32700,"Balmes                                            ","0177 0177","Dijous","Dj","Laboral","2018",9,"Setembre","27","19","Tarda","Abast","429311.37","4583300.96","2.153278","41.396295"
"2018S007282    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell                                    ","0165 0167","Dijous","Dj","Laboral","2018",9,"Setembre","27","18","Tarda","Abast","429100.31","4582353.70","2.150865","41.387745"
"2018S007283    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",243206,"Tànger / Pamplona                                 ","0127 0129","Dijous","Dj","Laboral","2018",9,"Setembre","27","20","Tarda","Caiguda (dues rodes)","432194.61","4583600.25","2.188136","41.399048"
"2018S007284    ",3,"Sants-Montjuïc",18,"Sants",285104,"Robrenyo / Guitard                                ","0039 0039","Dijous","Dj","Laboral","2018",9,"Setembre","27","19","Tarda","Col.lisió fronto-lateral","428030.12","4581702.64","2.138091","41.381714"
"2018S007285    ",9,"Sant Andreu",57,"la Trinitat Vella",701268,"Dalt (Llobregat)                                  ","001600000","Dijous","Dj","Laboral","2018",9,"Setembre","27","18","Tarda","Col.lisió lateral","432696.87","4588930.56","2.193145","41.44729"
"2018S007286    ",2,"Eixample",10,"Sant Antoni",361406,"viladomat / Manso                                 ","0041 0041","Dijous","Dj","Laboral","2018",9,"Setembre","27","21","Tarda","Col.lisió fronto-lateral","429905.80","4581146.02","2.160939","41.376927"
"2018S007287    ",7,"Horta-Guinardó",33,"el Baix Guinardó",152905,"Alfons el Savi                                    ","0033 0033","Dijous","Dj","Laboral","2018",9,"Setembre","27","22","Nit","Col.lisió lateral","430398.23","4585072.31","2.164519","41.412303"
"2018S007288    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",322608,"Selva de Mar / Taulat                             ","0007X0007X","Divendres","Dv","Laboral","2018",9,"Setembre","28","07","Matí","Col.lisió lateral","434346.85","4584263.05","2.213302","41.405646"
"2018S007289    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",44403,"Meridiana / Castillejos                           ","0000X0000X","Divendres","Dv","Laboral","2018",9,"Setembre","28","09","Matí","Col.lisió fronto-lateral","432154.31","4583704.20","2.186951","41.399893"
