"Codi_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Dia_setmana","ID_Dia_setmana","Tipus_dia","Any","Mes","Nom_mes","Dia_de_mes","Hora_de_dia","Torn","Tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2018S000001    ",3,"Sants-Montjuïc",11,"el Poble-sec",198804,"Paral·lel                                         ","0117 0119","Dilluns","Dl","Laboral","2018",1,"Gener","1","03","Nit","Abast multiple","429910.63","4580909.28","2.160723","41.374806"
"2018S000002    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",361406,"Viladomat / Rosselló                              ","0255 0255","Dilluns","Dl","Laboral","2018",1,"Gener","1","00","Nit","Col.lisió fronto-lateral","428854.85","4582229.02","2.148281","41.386492"
"2018S000003    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria                                         ","0241 0249","Dilluns","Dl","Laboral","2018",1,"Gener","1","02","Nit","Abast","431423.35","4585106.03","2.178621","41.412675"
"2018S000004    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",111704,"Escòcia / Vèlia                                   ","0031 0031","Dilluns","Dl","Laboral","2018",1,"Gener","1","09","Matí","Xoc contra element estàtic","431781.73","4586859.67","2.180756","41.428673"
"2018S000005    ",8,"Nou Barris",56,"Vallbona",330606,"C-17 (Barcelona)                                  ","0001 0001","Dilluns","Dl","Laboral","2018",1,"Gener","1","09","Matí","Bolcada (més de dues rodes)","431653.89","4590878.10","2.179432","41.463661"
"2018S000006    ",4,"Les Corts",19,"les Corts",144601,"Diagonal                                          ","0543 0543","Dilluns","Dl","Laboral","2018",1,"Gener","1","17","Tarda","Abast","427951.34","4582651.53","2.137733","41.390612"
"2018S000007    ",10,"Sant Martí",73,"la Verneda i la Pau",60807,"Cantàbria                                         ","0010B0010B","Dilluns","Dl","Laboral","2018",1,"Gener","1","18","Tarda","Abast","433559.03","4585715.99","2.203081","41.418318"
"2018S000008    ",3,"Sants-Montjuïc",17,"Sants - Badal",312400,"Sants / Begur                                     ","0293 0293","Dilluns","Dl","Laboral","2018",1,"Gener","1","18","Tarda","Col.lisió fronto-lateral","427283.82","4581005.67","2.129219","41.375528"
"2018S000009    ",2,"Eixample",10,"Sant Antoni",323203,"Comte d'Urgell / Sepúlveda                        ","0127 0127","Dilluns","Dl","Laboral","2018",1,"Gener","1","18","Tarda","Col.lisió lateral","429810.42","4581602.40","2.159811","41.381177"
"2018S000010    ",8,"Nou Barris",45,"Porta",100209,"Alcúdia / Deià                                    ","0044 0044","Dilluns","Dl","Laboral","2018",1,"Gener","1","19","Tarda","Col.lisió fronto-lateral","431022.10","4587552.94","2.173315","41.43463"
"2018S000011    ",2,"Eixample",7,"la Dreta de l'Eixample",289105,"Rosselló / Catalunya                              ","0243 0243","Dilluns","Dl","Laboral","2018",1,"Gener","1","19","Tarda","Atropellament","429789.41","4583121.06","2.158845","41.394428"
"2018S000012    ",1,"Ciutat Vella",2,"el Barri Gòtic",303705,"Sant Jaume                                        ","0004 0004","Dilluns","Dl","Laboral","2018",1,"Gener","1","19","Tarda","Atropellament","431263.58","4581784.85","2.177156","41.382513"
"2018S000013    ",2,"Eixample",7,"la Dreta de l'Eixample",335100,"Tetuan                                            ","9999 9999","Dilluns","Dl","Laboral","2018",1,"Gener","1","22","Nit","Col.lisió lateral","431163.80","4583082.14","2.175728","41.394232"
"2018S000014    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",367504,"Doctor Trueta                                     ","0056 0056","Dilluns","Dl","Laboral","2018",1,"Gener","1","20","Tarda","Col.lisió fronto-lateral","432849.30","4582856.88","2.195174","41.392555"
"2018S000015    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",701266,"Voluntaris Olímpics / Salvador Espriu             ","000870000","Dilluns","Dl","Laboral","2018",1,"Gener","1","22","Nit","Col.lisió fronto-lateral","432900.47","4582345.91","2.195947","41.388026"
"2018S000016    ",2,"Eixample",10,"Sant Antoni",296508,"Sant Antoni / Joaquín Costa                       ","0055 0055","Dimarts","Dm","Laboral","2018",1,"Gener","2","00","Nit","Col.lisió lateral","430165.67","4581957.58","2.163831","41.384174"
"2018S000017    ",2,"Eixample",6,"la Sagrada Família",144601,"Aragó / Diagonal                                  ","0312 0314","Dimarts","Dm","Laboral","2018",1,"Gener","2","07","Matí","Col.lisió lateral","431210.03","4583792.95","2.175428","41.400076"
"2018S000018    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",162104,"Calvó / Jesús i Maria                             ","0001 0001","Dimarts","Dm","Laboral","2018",1,"Gener","2","05","Nit","Col.lisió fronto-lateral","427453.47","4584930.37","2.131425","41.410674"
"2018S000019    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",245802,"París / Enric Granados                            ","0198 0198","Dimarts","Dm","Laboral","2018",1,"Gener","2","09","Matí","Col.lisió lateral","429354.76","4583039.06","2.153951","41.394167"
"2018S000020    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia                                            ","0034S0034S","Dimarts","Dm","Laboral","2018",1,"Gener","2","09","Matí","Altres","430438.54","4582673.41","2.167161","41.389918"
"2018S000021    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701353,"Benedetti / Bellesguard                           ","0001 0001","Dimarts","Dm","Laboral","2018",1,"Gener","2","09","Matí","Abast","426967.72","4584914.85","2.125779","41.410338"
"2018S000022    ",2,"Eixample",6,"la Sagrada Família",161407,"Indústria / Lepant                                ","0120 0120","Dimarts","Dm","Laboral","2018",1,"Gener","2","09","Matí","Col.lisió fronto-lateral","430888.55","4584541.18","2.172148","41.407862"
"2018S000023    ",6,"Gràcia",30,"la Salut",344000,"Dalt                                              ","0104 0106","Dimarts","Dm","Laboral","2018",1,"Gener","2","09","Matí","Xoc contra element estàtic","429724.41","4584965.82","2.158025","41.411326"
"2018S000023    ",6,"Gràcia",30,"la Salut",344000,"Dalt                                              ","0104 0106","Dimarts","Dm","Laboral","2018",1,"Gener","2","09","Matí","Caiguda (dues rodes)","429724.41","4584965.82","2.158025","41.411326"
"2018S000024    ",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",700059,"Vallvidrera a les Planes / Major del Rectoret     ","0010 0018","Dimarts","Dm","Laboral","2018",1,"Gener","2","09","Matí","Col.lisió lateral","424610.52","4585995.05","2.096172","41.420583"
"2018S000025    ",7,"Horta-Guinardó",36,"la Font d'en Fargues",248800,"Carmel / Pedrell                                  ","0209 0209","Dimarts","Dm","Laboral","2018",1,"Gener","2","11","Matí","Atropellament","429759.52","4586260.45","2.158178","41.423025"
"2018S000026    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",144601,"Diagonal                                          ","0649 0651","Dimarts","Dm","Laboral","2018",1,"Gener","2","14","Tarda","Col.lisió lateral","425960.22","4582013.24","2.111662","41.385013"
"2018S000027    ",3,"Sants-Montjuïc",15,"Hostafrancs",267102,"Tarragona                                         ","0025 0025","Dimarts","Dm","Laboral","2018",1,"Gener","2","15","Tarda","Atropellament","428818.83","4581076.62","2.147168","41.376641"
"2018S000028    ",9,"Sant Andreu",59,"el Bon Pastor",63850,"Potosí / Caracas                                  ","0027B0027B","Dimarts","Dm","Laboral","2018",1,"Gener","2","14","Tarda","Col.lisió fronto-lateral","433490.43","4588432.54","2.203412","41.443341"
"2018S000029    ",9,"Sant Andreu",62,"el Congrés i els Indians",274505,"Guinardó / Maragall                               ","0002 0002","Dimarts","Dm","Laboral","2018",1,"Gener","2","17","Tarda","Col.lisió lateral","431366.11","4586384.07","2.177514","41.423817"
"2018S000030    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",69109,"Cartellà                                          ","0031 0033","Dimarts","Dm","Laboral","2018",1,"Gener","2","16","Tarda","Atropellament","430962.39","4586765.11","2.172545","41.427864"
"2018S000031    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",187207,"Madrid                                            ","0063 0073","Dimarts","Dm","Laboral","2018",1,"Gener","2","13","Matí","Caiguda interior vehicle","427049.01","4581302.86","2.126459","41.378096"
"2018S000032    ",7,"Horta-Guinardó",33,"el Baix Guinardó",152905,"Guinardó / Castillejos                            ","0074 0074","Dimarts","Dm","Laboral","2018",1,"Gener","2","17","Tarda","Atropellament","430717.53","4585162.29","2.169481","41.413212"
"2018S000033    ",6,"Gràcia",31,"la Vila de Gràcia",206403,"Gran de Gràcia / Santa Àgata                      ","0208 0208","Dimarts","Dm","Laboral","2018",1,"Gener","2","18","Tarda","Col.lisió fronto-lateral","429215.10","4584145.74","2.151922","41.403931"
"2018S000034    ",1,"Ciutat Vella",1,"el Raval",34308,"Rambla                                            ","0015 0015","Dimarts","Dm","Laboral","2018",1,"Gener","2","17","Tarda","Abast multiple","431166.03","4581233.93","2.17575","41.3777"
"2018S000035    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",245802,"París                                             ","0157 0159","Dimarts","Dm","Laboral","2018",1,"Gener","2","19","Tarda","Col.lisió fronto-lateral","429113.11","4582832.48","2.150772","41.391915"
"2018S000036    ",8,"Nou Barris",45,"Porta",282650,"Rio de Janeiro                                    ","0081 0081","Dimarts","Dm","Laboral","2018",1,"Gener","2","18","Tarda","Abast","431695.64","4588011.16","2.182811","41.439966"
"2018S000037    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",240707,"Palau / Isabel II                                 ","0022 0022","Dimarts","Dm","Laboral","2018",1,"Gener","2","16","Tarda","Col.lisió lateral","431767.04","4581764.39","2.183262","41.38258"
"2018S000038    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",87009,"Sarrià / Comte Borrell                            ","0306 0306","Dimarts","Dm","Laboral","2018",1,"Gener","2","20","Tarda","Col.lisió lateral","428662.72","4582646.51","2.146181","41.390024"
"2018S000039    ",2,"Eixample",7,"la Dreta de l'Eixample",74506,"València / Catalunya                              ","0074 0074","Dimarts","Dm","Laboral","2018",1,"Gener","2","20","Tarda","Col.lisió lateral","430055.90","4582836.31","2.162304","41.391909"
"2018S000040    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",66508,"Mig (Descendent)                                  ","0001 0005","Dimarts","Dm","Laboral","2018",1,"Gener","2","20","Tarda","Abast","427212.84","4581439.40","2.126951","41.383072"
"2018S000041    ",10,"Sant Martí",73,"la Verneda i la Pau",343200,"Santander / Trajana                               ","0042 0042","Dimarts","Dm","Laboral","2018",1,"Gener","2","19","Tarda","Altres","433467.60","4586866.04","2.203004","41.428573"
"2018S000041    ",10,"Sant Martí",73,"la Verneda i la Pau",343200,"Santander / Trajana                               ","0042 0042","Dimarts","Dm","Laboral","2018",1,"Gener","2","19","Tarda","Caiguda (dues rodes)","433467.60","4586866.04","2.203004","41.428573"
"2018S000042    ",9,"Sant Andreu",60,"Sant Andreu",296202,"Gran de Sant Andreu                               ","0269 0269","Dimarts","Dm","Laboral","2018",1,"Gener","2","19","Tarda","Atropellament","432390.02","4587647.40","2.189617","41.435669"
"2018S000043    ",1,"Ciutat Vella",3,"la Barceloneta",701265,"Doctor Aiguader                                   ","000970000","Dilluns","Dl","Laboral","2018",1,"Gener","1","22","Nit","Xoc contra element estàtic","432115.47","4581735.28","2.187038","41.382218"
"2018S000044    ",4,"Les Corts",19,"les Corts",55807,"Francesc Macià / Josep Tarradellas                ","0007 0007","Dimecres","Dc","Laboral","2018",1,"Gener","3","08","Matí","Atropellament","428520.52","4582845.90","2.144349","41.392373"
"2018S000045    ",6,"Gràcia",28,"Vallcarca i els Penitents",230000,"Cardedeu / Mare de Déu del Coll                   ","0027 0027","Dimecres","Dc","Laboral","2018",1,"Gener","3","09","Matí","Abast","428646.61","4585378.43","2.145365","41.414985"
"2018S000046    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana                                         ","0189 0189","Dimecres","Dc","Laboral","2018",1,"Gener","3","09","Matí","Abast","432115.62","4585274.89","2.186598","41.414315"
"2018S000047    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",32700,"Balmes                                            ","0414 0416","Dimecres","Dc","Laboral","2018",1,"Gener","3","11","Matí","Col.lisió lateral","428114.36","4584473.27","2.138821","41.406747"
"2018S000048    ",2,"Eixample",7,"la Dreta de l'Eixample",191204,"Mallorca / Bailèn                                 ","0332 0332","Dimecres","Dc","Laboral","2018",1,"Gener","3","11","Matí","Abast","430626.62","4583537.15","2.168649","41.398399"
"2018S000049    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",110803,"Entença                                           ","0145 0145","Dimecres","Dc","Laboral","2018",1,"Gener","3","12","Matí","Caiguda (dues rodes)","428735.02","4581779.15","2.146564","41.382537"
"2018S000050    ",4,"Les Corts",21,"Pedralbes",6404,"Diagonal                                          ","0001 0001","Dimecres","Dc","Laboral","2018",1,"Gener","3","09","Matí","Abast","425092.88","4581804.00","2.10672","41.383254"
"2018S000051    ",1,"Ciutat Vella",1,"el Raval",700025,"Zona Franca                                       ","0029B0029B","Dimecres","Dc","Laboral","2018",1,"Gener","3","12","Matí","Caiguda (dues rodes)","431264.19","4580754.87","2.135723","41.36384"
"2018S000051    ",1,"Ciutat Vella",1,"el Raval",700025,"Zona Franca                                       ","0029B0029B","Dimecres","Dc","Laboral","2018",1,"Gener","3","12","Matí","Abast","431264.19","4580754.87","2.135723","41.36384"
"2018S000052    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",353500,"Freixa / Vallmajor                                ","0023 0023","Dimecres","Dc","Laboral","2018",1,"Gener","3","13","Matí","Col.lisió fronto-lateral","428092.13","4583662.85","2.138727","41.399276"
"2018S000053    ",2,"Eixample",10,"Sant Antoni",349706,"Comte d'Urgell                                    ","0010 0010","Dimecres","Dc","Laboral","2018",1,"Gener","3","15","Tarda","Abast","430067.33","4581411.11","2.162539","41.37934"
"2018S000054    ",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",701265,"Litoral (Besòs)                                   ","001390000","Dimecres","Dc","Laboral","2018",1,"Gener","3","17","Tarda","Col.lisió lateral","429718.16","4578561.81","2.156821","41.352475"
"2018S000055    ",2,"Eixample",7,"la Dreta de l'Eixample",144601,"Diagonal / Nàpols                                 ","0301 0301","Dimecres","Dc","Laboral","2018",1,"Gener","3","17","Tarda","Caiguda (dues rodes)","430995.49","4583669.10","2.17317","41.400095"
"2018S000055    ",2,"Eixample",7,"la Dreta de l'Eixample",144601,"Diagonal / Nàpols                                 ","0301 0301","Dimecres","Dc","Laboral","2018",1,"Gener","3","17","Tarda","Col.lisió lateral","430995.49","4583669.10","2.17317","41.400095"
"2018S000056    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",66508,"Mig                                               ","0069 0069","Dimecres","Dc","Laboral","2018",1,"Gener","3","17","Tarda","Abast","427112.90","4582001.08","2.15025","41.40741"
"2018S000057    ",8,"Nou Barris",52,"la Prosperitat",120807,"Dalt (Besòs)                                      ","0460X0460X","Dimecres","Dc","Laboral","2018",1,"Gener","3","19","Tarda","Abast multiple","432112.05","4588865.69","2.187422","41.447051"
"2018S000058    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701629,"Dalt (Besòs)                                      ","0032U0032U","Dimecres","Dc","Laboral","2018",1,"Gener","3","18","Tarda","Abast","427514.81","4585278.33","2.131426","41.414127"
"2018S000059    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",32700,"Balmes / Rosselló                                 ","0129B0129B","Dimecres","Dc","Laboral","2018",1,"Gener","3","19","Tarda","Atropellament","429654.72","4582940.83","2.157359","41.39331"
"2018S000060    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",268003,"Entença / Provença                                ","0054 0054","Dimecres","Dc","Laboral","2018",1,"Gener","3","20","Tarda","Caiguda (dues rodes)","428679.70","4581813.37","2.146028","41.383069"
"2018S000060    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",268003,"Entença / Provença                                ","0054 0054","Dimecres","Dc","Laboral","2018",1,"Gener","3","20","Tarda","Col.lisió lateral","428679.70","4581813.37","2.146028","41.383069"
"2018S000061    ",7,"Horta-Guinardó",40,"Montbau",25500,"Arquitectura                                      ","0001 0001","Dimecres","Dc","Laboral","2018",1,"Gener","3","20","Tarda","Col.lisió lateral","428518.97","4586993.98","2.143363","41.429486"
"2018S000062    ",8,"Nou Barris",50,"les Roquetes",120807,"Dalt (Llobregat)                                  ","0167 0167","Dimecres","Dc","Laboral","2018",1,"Gener","3","21","Tarda","Abast","431126.51","4588675.44","2.176155","41.44538"
"2018S000063    ",2,"Eixample",7,"la Dreta de l'Eixample",305100,"Sant Joan / Rosselló                              ","0130 0130","Dimecres","Dc","Laboral","2018",1,"Gener","3","21","Tarda","Col.lisió lateral","430540.69","4583823.02","2.167502","41.400966"
"2018S000064    ",9,"Sant Andreu",61,"la Sagrera",209900,"Meridiana                                         ","0253 0253","Dimecres","Dc","Laboral","2018",1,"Gener","3","19","Tarda","Caiguda interior vehicle","432111.43","4586046.02","2.186463","41.421359"
"2018S000065    ",10,"Sant Martí",71,"Provençals del Poblenou",169409,"Bac de Roda / Corts Catalanes                     ","1002 1002","Dimecres","Dc","Laboral","2018",1,"Gener","3","23","Nit","Col.lisió fronto-lateral","433114.41","4584935.80","2.19819","41.411891"
"2018S000066    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",187207,"Madrid                                            ","0063 0073","Dijous","Dj","Laboral","2018",1,"Gener","4","06","Matí","Caiguda (dues rodes)","427049.01","4581302.86","2.126459","41.378096"
"2018S000067    ",10,"Sant Martí",65,"el Clot",191204,"Mallorca                                          ","0628 0630","Dijous","Dj","Laboral","2018",1,"Gener","4","07","Matí","Col.lisió fronto-lateral","432211.14","4585084.11","2.187763","41.412605"
"2018S000068    ",3,"Sants-Montjuïc",11,"el Poble-sec",198804,"Paral·lel                                         ","0083 0083","Dijous","Dj","Laboral","2018",1,"Gener","4","07","Matí","Abast","430383.48","4580902.78","2.166566","41.374763"
"2018S000069    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa / Meridiana                   ","0293 0293","Dijous","Dj","Laboral","2018",1,"Gener","4","08","Matí","Col.lisió lateral","432113.76","4585394.94","2.18689","41.415288"
"2018S000070    ",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",700133,"Transversal 5 / Longitudinal 3                    ","0022 0022","Dijous","Dj","Laboral","2018",1,"Gener","4","09","Matí","Atropellament","426314.71","4576253.13","2.117373","41.332873"
"2018S000071    ",3,"Sants-Montjuïc",15,"Hostafrancs",108700,"Elisi / Tarragona                                 ","0031U0031U","Dijous","Dj","Laboral","2018",1,"Gener","4","11","Matí","Col.lisió fronto-lateral","428559.25","4581357.72","2.14483","41.378807"
"2018S000072    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",344101,"Tuset / Gràcia                                    ","0071 0071","Dijous","Dj","Laboral","2018",1,"Gener","4","11","Matí","Caiguda (dues rodes)","429087.75","4583367.57","2.150741","41.39683"
"2018S000073    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",268003,"Provença / Muntaner                               ","0198 0198","Dijous","Dj","Laboral","2018",1,"Gener","4","09","Matí","Atropellament","429435.85","4582555.90","2.155093","41.389883"
"2018S000074    ",2,"Eixample",7,"la Dreta de l'Eixample",28305,"Ausiàs Marc / Bailèn                              ","0050 0050","Dijous","Dj","Laboral","2018",1,"Gener","4","12","Matí","Altres","431302.55","4582844.44","2.176819","41.392227"
"2018S000075    ",6,"Gràcia",31,"la Vila de Gràcia",208001,"Perla                                             ","0142 0142","Dijous","Dj","Laboral","2018",1,"Gener","4","12","Matí","Atropellament","429573.35","4584038.90","2.156435","41.402998"
"2018S000076    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",700811,"Albert Bastardas                                  ","0023 0023","Dijous","Dj","Laboral","2018",1,"Gener","4","14","Tarda","Atropellament","425482.01","4581542.53","2.107692","41.380111"
"2018S000076    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",700811,"Albert Bastardas                                  ","0023 0023","Dijous","Dj","Laboral","2018",1,"Gener","4","14","Tarda","Abast","425482.01","4581542.53","2.107692","41.380111"
"2018S000077    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",139805,"Ganduxer / Augusta                                ","0063 0063","Dijous","Dj","Laboral","2018",1,"Gener","4","14","Tarda","Abast","427816.89","4583459.00","2.135364","41.397778"
"2018S000078    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell                                    ","0214 0214","Dijous","Dj","Laboral","2018",1,"Gener","4","14","Tarda","Abast multiple","429040.93","4582459.77","2.150247","41.388615"
"2018S000079    ",7,"Horta-Guinardó",33,"el Baix Guinardó",238400,"Padilla                                           ","0394U0394U","Dijous","Dj","Laboral","2018",1,"Gener","4","15","Tarda","Col.lisió lateral","430542.38","4585129.01","2.167792","41.412867"
"2018S000080    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes / Marina                          ","0778 0778","Dijous","Dj","Laboral","2018",1,"Gener","4","13","Matí","Col.lisió lateral","431638.38","4583547.34","2.181199","41.399111"
"2018S000081    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",270901,"Pujades / Pamplona                                ","0057 0057","Dijous","Dj","Laboral","2018",1,"Gener","4","17","Tarda","Col.lisió fronto-lateral","432585.19","4583200.75","2.192754","41.395653"
"2018S000082    ",3,"Sants-Montjuïc",13,"la Marina de Port",137300,"Mecànica / Foneria                                ","0017X0017X","Dijous","Dj","Laboral","2018",1,"Gener","4","18","Tarda","Col.lisió fronto-lateral","427903.70","4579277.77","2.137165","41.359905"
"2018S000083    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",289105,"Rosselló                                          ","0502 0506","Dijous","Dj","Laboral","2018",1,"Gener","4","13","Matí","Caiguda interior vehicle","431513.68","4584771.51","2.179675","41.409883"
"2018S000084    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",143904,"General Mitre                                     ","0228V0228V","Dijous","Dj","Laboral","2018",1,"Gener","4","18","Tarda","Atropellament","428866.73","4584342.68","2.147666","41.405633"
"2018S000085    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",18505,"Aragó / Vilamarí                                  ","0041 0041","Dijous","Dj","Laboral","2018",1,"Gener","4","19","Tarda","Col.lisió lateral","428886.41","4581485.88","2.148281","41.379678"
"2018S000086    ",7,"Horta-Guinardó",41,"la Vall d'Hebron",169103,"Jorge Manrique / Arquitecte Moragas               ","0030 0030","Dijous","Dj","Laboral","2018",1,"Gener","4","18","Tarda","Col.lisió lateral","428814.36","4587295.45","2.147137","41.432059"
"2018S000087    ",2,"Eixample",7,"la Dreta de l'Eixample",74506,"Catalunya / Provença                              ","0105 0105","Dijous","Dj","Laboral","2018",1,"Gener","4","19","Tarda","Col.lisió fronto-lateral","429836.27","4583006.53","2.15998","41.393601"
"2018S000088    ",2,"Eixample",7,"la Dreta de l'Eixample",305100,"Aragó / Sant Joan                                 ","0082 0082","Dijous","Dj","Laboral","2018",1,"Gener","4","15","Tarda","Abast","430920.02","4583421.04","2.172037","41.397542"
"2018S000089    ",2,"Eixample",6,"la Sagrada Família",18505,"Aragó                                             ","0487 0487","Dijous","Dj","Laboral","2018",1,"Gener","4","21","Tarda","Col.lisió frontal","431593.05","4584137.74","2.180505","41.404176"
"2018S000089    ",2,"Eixample",6,"la Sagrada Família",18505,"Aragó                                             ","0487 0487","Dijous","Dj","Laboral","2018",1,"Gener","4","21","Tarda","Col.lisió lateral","431593.05","4584137.74","2.180505","41.404176"
"2018S000090    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",344101,"Gràcia / Alfons XII                               ","0069 0069","Dijous","Dj","Laboral","2018",1,"Gener","4","16","Tarda","Caiguda interior vehicle","429075.93","4583359.39","2.150741","41.39683"
"2018S000091    ",3,"Sants-Montjuïc",13,"la Marina de Port",135203,"Foc                                               ","0099 0099","Divendres","Dv","Laboral","2018",1,"Gener","5","07","Matí","Abast","428561.43","4579208.19","2.147819","41.359964"
"2018S000092    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",244209,"Joan XXIII / Menéndez y Pelayo                    ","0018 0018","Divendres","Dv","Laboral","2018",1,"Gener","5","08","Matí","Atropellament","426741.27","4582066.07","2.122488","41.384441"
"2018S000093    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",32700,"Balmes                                            ","0143 0143","Divendres","Dv","Laboral","2018",1,"Gener","5","09","Matí","Col.lisió lateral","429578.48","4583022.39","2.156937","41.393761"
"2018S000094    ",1,"Ciutat Vella",2,"el Barri Gòtic",269108,"Josep Carner / Portal de la Pau                   ","0007 0007","Divendres","Dv","Laboral","2018",1,"Gener","5","11","Matí","Col.lisió lateral","431350.00","4580998.35","2.177378","41.375299"
"2018S000095    ",4,"Les Corts",21,"Pedralbes",115400,"Esplugues / Pearson                               ","0108 0108","Divendres","Dv","Laboral","2018",1,"Gener","5","09","Matí","Atropellament","425869.53","4583046.72","2.112079","41.393996"
"2018S000096    ",3,"Sants-Montjuïc",18,"Sants",351300,"Alcolea / Valladolid                              ","0017 0017","Divendres","Dv","Laboral","2018",1,"Gener","5","10","Matí","Col.lisió lateral","427856.20","4581255.39","2.136053","41.377633"
"2018S000097    ",7,"Horta-Guinardó",35,"el Guinardó",347201,"Trobador                                          ","0029 0029","Divendres","Dv","Laboral","2018",1,"Gener","5","11","Matí","Xoc contra element estàtic","431388.86","4585385.98","2.178032","41.415161"
"2018S000098    ",7,"Horta-Guinardó",42,"la Clota",160200,"Estatut de Catalunya                              ","0002 0002","Divendres","Dv","Laboral","2018",1,"Gener","5","12","Matí","Abast","429437.11","4587141.60","2.155007","41.430587"
"2018S000099    ",8,"Nou Barris",45,"Porta",282650,"Rio de Janeiro / Garrofers                        ","0061X0061X","Divendres","Dv","Laboral","2018",1,"Gener","5","15","Tarda","Col.lisió fronto-lateral","431621.37","4587848.61","2.180532","41.437181"
"2018S000100    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",66508,"Carles III                                        ","0071 0071","Divendres","Dv","Laboral","2018",1,"Gener","5","15","Tarda","Col.lisió fronto-lateral","427097.51","4582070.36","2.126946","41.385013"
"2018S000101    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",18505,"Aragó                                             ","0105 0107","Divendres","Dv","Laboral","2018",1,"Gener","5","16","Tarda","Abast","429184.96","4581778.43","2.151944","41.382571"
"2018S000102    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",18505,"Aragó                                             ","0148 0150","Divendres","Dv","Laboral","2018",1,"Gener","5","15","Tarda","Abast","429564.28","4582120.18","2.156441","41.385682"
"2018S000103    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes                                   ","0849 0849","Divendres","Dv","Laboral","2018",1,"Gener","5","17","Tarda","Abast","432402.22","4584365.77","2.190129","41.406151"
"2018S000104    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",123408,"Lesseps                                           ","0033 0033","Divendres","Dv","Laboral","2018",1,"Gener","5","16","Tarda","Atropellament","429031.15","4584374.20","2.1498","41.405936"
"2018S000105    ",7,"Horta-Guinardó",33,"el Baix Guinardó",109203,"Encarnació                                        ","0185 0185","Divendres","Dv","Laboral","2018",1,"Gener","5","18","Tarda","Altres","430506.17","4584932.87","2.167481","41.41096"
"2018S000106    ",2,"Eixample",7,"la Dreta de l'Eixample",222002,"Mossèn Jacint Verdaguer                           ","9999 9999","Divendres","Dv","Laboral","2018",1,"Gener","5","16","Tarda","Col.lisió fronto-lateral","430706.38","4583594.24","2.169928","41.399132"
