Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S004185    ,1,Ciutat Vella,1,el Raval,701266,Litoral (Besòs)                                   ,K114      ,Dijous,Dj,Laboral,2019,5,Maig,30,13,Matí,Caiguda (dues rodes),431103.58 ,4580455.45,2.1749472421650275,41.370841582910195
2019S003689    ,1,Ciutat Vella,1,el Raval,701266,Drassanes                                         ,0,Dilluns,Dl,Laboral,2019,5,Maig,13,23,Nit,Col.lisió lateral,431214.13 ,4580892.36,2.1762193646586603,41.374786138944316
2019S004095    ,1,Ciutat Vella,1,el Raval,34308,Rambla                                            ,27-29     ,Dilluns,Dl,Laboral,2019,5,Maig,27,18,Tarda,Col.lisió lateral,431129.89 ,4581327.89,2.175162544913212,41.37870157714784
2019S008606    ,1,Ciutat Vella,1,el Raval,140203,Drassanes                                         ,10-12     ,Dimecres,Dc,Laboral,2019,11,Novembre,6,22,Nit,Col.lisió lateral,431043.27 ,4581103.5 ,2.174152333008346,41.376673152796045
2019S006498    ,1,Ciutat Vella,1,el Raval,86902,Paral·lel / Nou de la Rambla                      ,,Dilluns,Dl,Laboral,2019,8,Agost,19,1,Nit,Atropellament,430686.86 ,4580920.06,2.1699116193492904,41.37499031444859
2019S009833    ,1,Ciutat Vella,1,el Raval,198804,Paral·lel / Nou de la Rambla                      ,,Divendres,Dv,Laboral,2019,12,Desembre,20,23,Nit,Desconegut,430686.86 ,4580920.06,2.1699116193492904,41.37499031444859
2019S008884    ,1,Ciutat Vella,1,el Raval,308301,Sant Oleguer                                      ,16-18     ,Diumenge,Dg,Laboral,2019,11,Novembre,17,12,Matí,Col.lisió lateral,430797.29 ,4581172.18,2.171203209066177,41.377270579493285
2019S000507    ,1,Ciutat Vella,1,el Raval,700025,Josep Carner                                      ,27,Dissabte,Ds,Laboral,2019,1,Gener,19,23,Nit,Abast,431291.88 ,4580896.02,2.177148608035061,41.374825754946244
2019S007869    ,10,Sant Martí,67,la Vila Olímpica del Poblenou,62609,Icària / Joan Miró                                ,,Dijous,Dj,Laboral,2019,10,Octubre,10,8,Matí,Altres,432837.45 ,4582565.19,2.1954438126030467,41.389990067488064
2019S001146    ,10,Sant Martí,67,la Vila Olímpica del Poblenou,700654,Litoral                                           ,24-34     ,Dimecres,Dc,Laboral,2019,2,Febrer,13,4,Nit,Xoc contra element estàtic,432990.63 ,4582346.48,2.197300056928346,41.388033018451935
2019S005841    ,1,Ciutat Vella,1,el Raval,198804,Paral·lel                                         ,42,Dimarts,Dm,Laboral,2019,7,Juliol,23,12,Matí,Col.lisió fronto-lateral,430884.35 ,4580921.44,2.172272859248386,41.37501975424856
